8864,PPP over Ethernet (PPPoE) Session Stage,1
888E,IEEE Std 802.1X - Port-based network access control,1
88A8,IEEE Std 802.1Q - Service VLAN tag identifier (S-Tag),1
8A96-8A97,Invisible Software,1
88B5,IEEE Std 802 - Local Experimental Ethertype,1
88B6,IEEE Std 802 - Local Experimental Ethertype,1
88B7,IEEE Std 802 - OUI Extended Ethertype,1
88C7,IEEE Std 802.11 - Pre-Authentication (802.11i),1
88CC,IEEE Std 802.1AB - Link Layer Discovery Protocol (LLDP),1
88E5,IEEE Std 802.1AE - Media Access Control Security,1
88E7,Provider Backbone Bridging Instance tag,1
88F5,IEEE Std 802.1Q  - Multiple VLAN Registration Protocol (MVRP),1
88F6,IEEE Std 802.1Q - Multiple Multicast Registration Protocol (MMRP),1
890D,IEEE Std 802.11 - Fast Roaming Remote Request (802.11r),1
8917,IEEE Std 802.21 - Media Independent Handover Protocol,1
8929,IEEE Std 802.1Qbe - Multiple I-SID Registration Protocol,1
893B,TRILL Fine Grained Labeling (FGL),1
8940,IEEE Std 802.1Qbg - ECP Protocol (also used in 802.1BR),1
8946,TRILL RBridge Channel,1
8947,GeoNetworking as defined in ETSI EN 302 636-4-1,1
894F,NSH (Network Service Header),1
9000,Loopback,1
9001,3Com(Bridge) XNS Sys Mgmt,1
9002,3Com(Bridge) TCP-IP Sys,1
9003,3Com(Bridge) loop detect,1
A0ED,LoWPAN encapsulation,1
B7EA,"The Ethertype will be used to identify a ""Channel""",1
FF00,BBN VITAL-LanBridge cache,1
FF00-FF0F,ISC Bunker Ramo,1
FFFF,Reserved,1
